global_id,ID,название,IsNetObject,OperatingCompany,TypeObject,округ,район,адрес,телефон,SeatsCount,SocialPrivileges,Longitude_WGS84,Latitude_WGS84,geoData
637377206,000058565,Тануки,да,Тануки,ресторан,Северный,Коптево,"город Москва, Большая Академическая улица, дом 65",(499) 153-81-44,160,нет,37.5476100000000000,55.8402660000000000,"{type=Point, coordinates=[37.54761, 55.840266]}"
637377794,000024387,Готика,да,Готика,ресторан,Северный,Дмитровский,"город Москва, Ангарская улица, дом 39",(495) 483-11-50,65,да,37.5245215708017000,55.8791123625771000,"{type=Point, coordinates=[37.5245215708017, 55.8791123625771]}"
637378082,00127979,Месопотамия,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 4, строение 1",(495) 913-32-12,50,нет,37.5984554877014570,55.7520159099222430,"{type=Point, coordinates=[37.59845548770146, 55.75201590992224]}"
637378210,00088194,TAJJ MAHAL,да,TAJJ MAHAL,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 6/2",(495) 107-91-06,100,нет,37.5975695597589660,55.7520238140709670,"{type=Point, coordinates=[37.597569559758966, 55.75202381407097]}"
637378607,000024967,IL Pizzaiolo,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 31",(495) 933-28-34,70,нет,37.5927987703546900,55.7496538407499070,"{type=Point, coordinates=[37.59279877035469, 55.74965384074991]}"
637378788,00127855,Эрик Рыжий,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 36/2, строение 1",(499) 505-18-33,30,нет,37.5888682527611020,55.7488371155641000,"{type=Point, coordinates=[37.5888682527611, 55.7488371155641]}"
637378895,000027311,ВОСТОЧНЫЙ КВАРТАЛ,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 45/24",(495) 241-38-03,90,нет,37.5881406293922000,55.7481098880933000,"{type=Point, coordinates=[37.5881406293922, 55.7481098880933]}"
637378921,000024970,ПОЧТМЕЙСТЕР,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 47/23",(499) 241-17-74,30,нет,37.5875592594036050,55.7479970095747180,"{type=Point, coordinates=[37.587559259403605, 55.74799700957472]}"
637378925,000073570,БОСФОР,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 47/23",(499) 241-93-20,78,нет,37.5875592594036050,55.7479970095747180,"{type=Point, coordinates=[37.587559259403605, 55.74799700957472]}"
637379078,000020050,Мастер,нет,,ресторан,Западный,Фили-Давыдково,"город Москва, улица Артамонова, дом 7",(495) 445-37-51,20,нет,37.4593358925510460,55.7190925878864580,"{type=Point, coordinates=[37.459335892551046, 55.71909258788646]}"
637379577,000027265,ТАНУКИ,да,Тануки,ресторан,Юго-Западный,Зюзино,"город Москва, Балаклавский проспект, дом 48, корпус 1",(499) 122-01-38,96,нет,37.5721332059936000,55.6482135986494000,"{type=Point, coordinates=[37.5721332059936, 55.6482135986494]}"
637380207,000027201,Розмарин,нет,,ресторан,Северный,Беговой,"город Москва, Беговая улица, дом 28",(495) 945-30-31,80,нет,37.5606759676678000,55.7814827124128000,"{type=Point, coordinates=[37.5606759676678, 55.7814827124128]}"
637380255,000025833,АЗЕРБАЙДЖАН,нет,,ресторан,Северо-Западный,Хорошёво-Мнёвники,"город Москва, улица Демьяна Бедного, дом 4",(495) 946-34-30,180,нет,37.4869140611715000,55.7698304856012000,"{type=Point, coordinates=[37.4869140611715, 55.7698304856012]}"
637380367,000026239,ОРХИДЕЯ,нет,,ресторан,Юго-Восточный,Люблино,"город Москва, Белореченская улица, дом 13, корпус 1",(495) 359-47-47,250,нет,37.7664798035654000,55.6732162954223000,"{type=Point, coordinates=[37.7664798035654, 55.6732162954223]}"
637380599,000024363,Вояж,нет,,ресторан,Северный,Бескудниковский,"город Москва, Бескудниковский бульвар, дом 57, корпус 1",(499) 485-20-00,140,нет,37.5383267897410000,55.8725533835125000,"{type=Point, coordinates=[37.538326789741, 55.8725533835125]}"
637380705,000025933,Сестры,нет,,ресторан,Северо-Западный,Щукино,"город Москва, улица Маршала Бирюзова, дом 4, корпус 1",(916) 229-51-50,60,нет,37.4995633588858000,55.7907729398205000,"{type=Point, coordinates=[37.4995633588858, 55.7907729398205]}"
637381097,000022292,Примавера,да,Примавера,ресторан,Северо-Западный,Щукино,"город Москва, улица Маршала Бирюзова, дом 21",(903) 232-59-70,50,нет,37.4903794752185000,55.7947296845020000,"{type=Point, coordinates=[37.4903794752185, 55.794729684502]}"
637381334,000024616,Сказка Востока,нет,,ресторан,Юго-Западный,Северное Бутово,"город Москва, Коктебельская улица, дом 11, строение 3",(495) 510-76-61,420,нет,37.5859113273049490,55.5641743681939530,"{type=Point, coordinates=[37.58591132730495, 55.56417436819395]}"
637382094,00102832,Ресторан «Humans seafood bar»,нет,,ресторан,Центральный,Пресненский,"город Москва, Малая Бронная улица, дом 10, строение 1",(495) 665-73-43,70,нет,37.5966636227127180,55.7607277189358970,"{type=Point, coordinates=[37.59666362271272, 55.7607277189359]}"
637382144,00125205,Ресторан «Голос»,нет,,ресторан,Центральный,Пресненский,"город Москва, Малая Бронная улица, дом 10, строение 1",(925) 111-17-74,50,нет,37.5966857874934060,55.7607246788786950,"{type=Point, coordinates=[37.596685787493406, 55.760724678878695]}"
637382305,000024262,Uilliams,нет,,ресторан,Центральный,Пресненский,"город Москва, Малая Бронная улица, дом 20А",(495) 650-65-00,49,нет,37.5955274330201000,55.7625332797137000,"{type=Point, coordinates=[37.5955274330201, 55.7625332797137]}"
637382794,000026298,Чайхона №1,да,Чайхона №1,ресторан,Юго-Западный,Коньково,"город Москва, улица Бутлерова, дом 22",(495) 334-16-85,159,нет,37.5348335574904440,55.6491433589836500,"{type=Point, coordinates=[37.534833557490444, 55.64914335898365]}"
637382987,000026141,Панчо Пицца,да,Панчо Пицца,ресторан,Северный,Савёловский,"город Москва, Бутырская улица, дом 89",(495) 780-30-34,64,нет,37.5813600050037000,55.8060548500850000,"{type=Point, coordinates=[37.5813600050037, 55.806054850085]}"
637383039,000026142,KFC,да,KFC,ресторан,Северный,Савёловский,"город Москва, Бутырская улица, дом 89",(495) 380-03-54,67,нет,37.5813921915117000,55.8060548500850000,"{type=Point, coordinates=[37.5813921915117, 55.806054850085]}"
637383217,000026595,IL Borgo,нет,,ресторан,Юго-Западный,Ломоносовский,"город Москва, улица Вавилова, дом 81",(499) 132-87-83,42,нет,37.5479780000000000,55.6807130000000000,"{type=Point, coordinates=[37.547978, 55.680713]}"
637384115,000027131,ТАНУКИ,да,Тануки,ресторан,Южный,Даниловский,"город Москва, Велозаводская улица, дом 6",(495) 618-89-77,114,нет,37.6649449656868710,55.7122875580237820,"{type=Point, coordinates=[37.66494496568687, 55.71228755802378]}"
637384167,000028501,Авлабар,нет,,ресторан,Южный,Даниловский,"город Москва, Велозаводская улица, дом 6",(495) 118-40-00,40,нет,37.6649449656868710,55.7122875580237820,"{type=Point, coordinates=[37.66494496568687, 55.71228755802378]}"
637384692,000069990,Панорама 93,нет,,ресторан,Западный,Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 93",(495) 120-66-17,60,нет,37.4951202626655000,55.6674110893323000,"{type=Point, coordinates=[37.4951202626655, 55.6674110893323]}"
637385165,000080410,Гамбринус,да,Гамбринус,ресторан,Восточный,Перово,"город Москва, 1-я Владимирская улица, дом 9",(495) 306-37-64,58,нет,37.7744327916449550,55.7594758786538090,"{type=Point, coordinates=[37.774432791644955, 55.75947587865381]}"
637385741,000027244,Тануки,да,Тануки,ресторан,Восточный,Перово,"город Москва, 3-я Владимирская улица, дом 29",(495) 304-79-00,100,нет,37.7914091573784000,55.7534053233054000,"{type=Point, coordinates=[37.7914091573784, 55.7534053233054]}"
637385926,000024872,Хинкальная,да,Хинкальная,ресторан,Юго-Западный,Коньково,"город Москва, улица Академика Волгина, дом 29, корпус 1",(495) 336-48-11,80,нет,37.5080353979793980,55.6437135957254720,"{type=Point, coordinates=[37.5080353979794, 55.64371359572547]}"
637386004,000026051,ДУРДИНЪ,нет,,ресторан,Центральный,Таганский,"город Москва, Волгоградский проспект, дом 4",(495) 676-02-76,200,нет,37.6706346498552000,55.7310654222888000,"{type=Point, coordinates=[37.6706346498552, 55.7310654222888]}"
637386135,000027215,Кафе «Тануки»,да,Тануки,ресторан,Центральный,Таганский,"город Москва, Волгоградский проспект, дом 17",(495) 676-99-22,150,нет,37.6793250070634000,55.7285038812421000,"{type=Point, coordinates=[37.6793250070634, 55.7285038812421]}"
